,Date,Home,Away,Win Percent Diff,WP vs. A Diff,Points Diff,Result
260,2021-11-22,Utah Jazz,Memphis Grizzlies,0.1875,0.0,2.5625,0
261,2021-11-22,Sacramento Kings,Philadelphia 76ers,-0.1764705882352941,0.0,1.0,0
262,2021-11-23,Detroit Pistons,Miami Heat,-0.3970588235294118,0.0,-10.202205882352942,0
263,2021-11-23,New York Knicks,Los Angeles Lakers,0.02941176470588236,0.0,-2.5947712418300597,1
264,2021-11-23,Portland Trail Blazers,Denver Nuggets,0.0,-1.0,7.294117647058812,1
265,2021-11-23,LA Clippers,Dallas Mavericks,0.02573529411764708,1.0,2.433823529411768,0
266,2021-11-24,Cleveland Cavaliers,Phoenix Suns,-0.32352941176470584,-1.0,-9.545751633986939,0
267,2021-11-24,Indiana Pacers,Los Angeles Lakers,-0.05263157894736842,0.0,-2.05263157894737,0
268,2021-11-24,Orlando Magic,Charlotte Hornets,-0.35672514619883045,-1.0,-11.269005847953224,0
269,2021-11-24,Boston Celtics,Brooklyn Nets,-0.20915032679738554,0.0,-0.8398692810457646,0
270,2021-11-24,Houston Rockets,Chicago Bulls,-0.6078431372549019,0.0,-6.879084967320267,1
271,2021-11-24,Memphis Grizzlies,Toronto Raptors,0.08496732026143794,0.0,4.339869281045765,0
272,2021-11-24,Milwaukee Bucks,Detroit Pistons,0.29411764705882354,1.0,8.411764705882348,1
273,2021-11-24,Minnesota Timberwolves,Miami Heat,-0.196078431372549,0.0,-2.1045751633986924,1
274,2021-11-24,New Orleans Pelicans,Washington Wizards,-0.48916408668730654,-1.0,-5.191950464396285,1
275,2021-11-24,Oklahoma City Thunder,Utah Jazz,-0.29411764705882354,-1.0,-13.764705882352942,0
276,2021-11-24,San Antonio Spurs,Atlanta Hawks,-0.25,0.0,-2.180555555555557,0
277,2021-11-24,Golden State Warriors,Philadelphia 76ers,0.326797385620915,0.0,6.454248366013061,1
278,2021-11-24,Sacramento Kings,Portland Trail Blazers,-0.22222222222222227,1.0,-2.166666666666657,1
279,2021-11-26,LA Clippers,Detroit Pistons,0.33333333333333337,0.0,7.166666666666671,1
